РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Прочая литература	Книги	1		БИБЛИОГРАФИЧЕСКОЕ ОПИСАНИЕ ЭЛЕКТРОННЫХ РЕСУРСОВ Методические рекомендации	Бахтурина Т.А. и др. Библиографическое описание электронных ресурсов. М., 2001. 35 с			other	библиографическое описание электронных ресурсов#0001.zip
Прочая литература	Книги	2		БИБЛИОТЕЧНО-БИБЛИОГРАФИЧЕСКАЯ КЛАССИФИКАЦИЯ ТЕОРИЯ И ПРАКТИКА	Библиотечно-библиографическая классификация: Теория и практика. Тр./ Гос. б-ка СССР им. В. И. Ленина. - М.: 1990. - Т. 23. - 223 с.			other	библиотечно-библиографическая классификация теория и практика#0002.zip
Прочая литература	Разное	3		Воронежский край. Памятные даты на 2005 год	"Воронежский край. Памятные даты на 2005 год / ВОУНБ им И. С. Никитина; Сост. Б.А.Фирсов; Под ред. А.Н.Акиньшина. Воронеж, 2004. 153 с."			other	воронежский край. памятные даты на 2005 год#0003.zip
Прочая литература	Разное	4		Рок Библиотека				other	рок библиотека#0004.zip
Прочая литература	Разное	5	KroMvEL	Коктейли				other\kromvel	Коктейли#0005zip
Прочая литература	Разное	6	KroMvEL	Напитки				other\kromvel	Напитки#0006zip
Прочая литература	Фокусы	7	Акопян А.А.	Даю уроки волшебства				other\акопян а.а.	Даю уроки волшебства#0007zip
Прочая литература	Фокусы	8	Акопян А.А.	Фокусы от Амаяка Акопяна (часть 1)				other\акопян а.а.	Фокусы от Амаяка Акопяна (часть 1)#0008zip
Прочая литература	Фокусы	9	Акопян А.А.	Фокусы от Амаяка Акопяна (часть 2)				other\акопян а.а.	Фокусы от Амаяка Акопяна (часть 2)#0009zip
Прочая литература	Книги	10	Антонова.	редакторская подготовка изданий.				other	антонова._редакторская подготовка изданий#000A.zip
Прочая литература	Разное	11	Бунковская З.П.	Лучшие сочинения прозаXIX века	Бунковская 3. П. Б 91 Лучшие сочинения: прозаXIX века/ Серия <Библиотека школьника>. - Ростов н/Д.: Феникс, 2003. - 320 с.	Библиотека школьника		other	бунковская з.п._лучшие сочинения прозаxix века#000B.zip
Прочая литература	Фокусы	12	Вадимов А.А.	Искусство фокуса				other	вадимов а.а._искусство фокуса#000C.zip
Прочая литература	Разное	13	Гиппиус З.Н	ЗАДУМЧИВЫЙ СТРАННИК (О РОЗАНОВЕ)				other	гиппиус з.н_задумчивый странник (о розанове)#000D.zip
Прочая литература	Книги	14	Калинин С. Ю.	Как правильно оформить выходные сведения издания : Пособие для издателя	"     Калинин С. Ю.
     К17 Как правильно оформить выходные  сведения  издания  :  Пособие  для издателя / С. Ю. Калинин ; Моск. гос. ун-т печати. - 2-е  изд.,  перераб.  и доп. - М.: МГУП, 2001. - 224 с. - (Книжный бизнес. Отечественный опыт).

В  книге  старшего  научного  сотрудника  Российской  книжной   палаты, кандидата педагогических наук  С.  Ю.  Калинина  подробно  изложены  правила приведения и оформления выходных сведений  книг,  нотных,  картографических, изоизданий,  периодических  и продолжающихся  изданий.  Изложение  основных требований    стандартов    по    издательскому    делу    проиллюстрировано многочисленными  примерами.  Особое   внимание   уделено   сложным   случаям приведения выходных сведений.
     Адресовано издателям, может быть использовано студентами,  обучающимися по специальностям издательского дела и книжного бизнеса.
     Первое издание пособия вышло в 1997 году под названием  ""Как  правильно оформить выходные сведения книги""."	Книжный бизнес. Отечественный опыт		other	калинин с. ю._как правильно оформить выходные сведения издания#000E.zip
Прочая литература	Разное	15	Коceнко А.	100 и 1 романтическая идея				other	коceнко а._100 и 1 романтическая идея#000F.zip
